--------------------------------------------------------------------------------
TIMESTAMP: 05:34:50.279 PM 28-Jun-2022
PARAMS:
  population 0
  wiggle-angle 45
  look-ahead 1
  sniff-threshold 0.9
  sniff-angle 45
  chemical-drop 3
  diffuse-share 1
  evaporation-rate 0.95
  cluster-threshold 25
  cluster-radius 10
  learning-turtles 50
  ticks-per-episode 500
  episodes 1500
  learning-rate 0.1
  discount-factor 0.9
  reward 100
  penalty -1
  e-greedy 0.5 0.9
ACTION SPACE: move-toward-chemical random-walk move-and-drop walk-and-drop drop-chemical
OBSERVATION SPACE: chemical-here in-cluster
REWARD: rewardFunc8
--------------------------------------------------------------------------------
Episode, Tick, Avg cluster size X tick, Avg reward X episode, move-toward-chemical, random-walk, move-and-drop, walk-and-drop, drop-chemical
53, 26399, 28.666666666666668, 0, 5965, 4646, 3677, 3211, 2501
53, 26499, 26.5, 0, 7219, 5775, 4651, 4108, 3247
54, 26599, 0, 0, 1944, 938, 1116, 464, 538
54, 26699, 0, 0, 3761, 2009, 2085, 1048, 1097
54, 26799, 26, 0, 5380, 3013, 3241, 1612, 1754
54, 26899, 0, 0, 6971, 4123, 4276, 2266, 2364
54, 26999, 0, 0, 8607, 5077, 5507, 2981, 2828
55, 27099, 0, 0, 2045, 784, 1134, 651, 386
55, 27199, 0, 0, 3941, 1814, 2223, 1223, 799
55, 27299, 0, 0, 5858, 2826, 3247, 1821, 1248
55, 27399, 0, 0, 7493, 3992, 4195, 2497, 1823
55, 27499, 0, 0, 9134, 5040, 5169, 3184, 2473
56, 27599, 0, 0, 2088, 704, 1166, 474, 568
56, 27699, 0, 0, 3927, 1674, 2224, 1057, 1118
56, 27799, 0, 0, 5776, 2616, 3450, 1624, 1534
56, 27899, 0, 0, 7572, 3709, 4602, 2175, 1942
56, 27999, 0, 0, 9340, 4687, 5791, 2746, 2436
57, 28099, 0, 0, 2185, 695, 1279, 457, 384
57, 28199, 0, 0, 3949, 1711, 2318, 1044, 978
57, 28299, 0, 0, 5570, 2725, 3412, 1686, 1607
57, 28399, 27, 0, 7083, 3776, 4559, 2356, 2226
57, 28499, 0, 0, 8572, 4803, 5771, 3008, 2846
58, 28599, 0, 0, 1867, 674, 1335, 514, 610
58, 28699, 0, 0, 3451, 1568, 2679, 1073, 1229
58, 28799, 0, 0, 5031, 2524, 3941, 1642, 1862
58, 28899, 0, 0, 6456, 3487, 5448, 2172, 2437
58, 28999, 0, 0, 7832, 4449, 6935, 2747, 3037
